adid,platform,cost,clicks,impressions,conversions,roas
AD000001,Meta,3930.98,2448,580176,37,3.54
AD000002,Snapchat,13784.65,1802,162180,85,4.39
AD000003,Google,11524.23,4749,921306,156,2.28
AD000004,Snapchat,16037.71,298,80460,9,4.17
AD000005,Snapchat,14735.38,933,276168,28,2.44
AD000006,Snapchat,16016.86,127,17526,1,1.33
AD000007,Meta,9726.63,2451,556377,44,0.65
AD000008,Google,6119.9,4421,689676,191,3.14
AD000009,Snapchat,18572.48,1578,48918,47,4.69
AD000010,Google,12832.08,3578,787160,95,1.83
AD000011,Snapchat,875.3,2546,641592,35,4.78
AD000012,Snapchat,8043.02,1852,61116,50,2.12
AD000013,Snapchat,1114.39,1023,126852,11,2.76
AD000014,Google,13213.21,4175,1064625,130,1.22
AD000015,Snapchat,2754.64,2196,371124,106,4.28
AD000016,Snapchat,6817.08,3049,143303,91,2.59
AD000017,Google,11125.45,1055,87565,13,1.62
AD000018,Google,8931.31,1906,385012,74,1.42
AD000019,Snapchat,15492.18,4470,129630,48,3.94
AD000020,Snapchat,6748.52,2459,29508,75,3.61
AD000021,Meta,5128.68,2915,72875,54,1.64
AD000022,Meta,679.32,3767,900313,68,3.52
AD000023,Google,19314.07,502,49698,8,3.22
AD000024,Meta,16137.22,1448,17376,50,5.0
AD000025,Meta,14126.08,3224,161200,131,3.01
AD000026,Google,10571.27,1228,148588,39,2.93
AD000027,Meta,3946.66,3855,285270,186,0.83
AD000028,Google,12676.48,583,171402,28,2.04
AD000029,Google,14088.69,2575,342475,29,4.85
AD000030,Snapchat,9628.82,157,22294,4,4.21
AD000031,Snapchat,2051.95,1226,45362,49,4.6
AD000032,Google,19363.06,4892,396252,113,4.84
AD000033,Snapchat,11160.63,1955,197455,24,4.46
AD000034,Meta,14076.23,2266,446402,112,3.33
AD000035,Snapchat,11211.23,3466,415920,46,2.34
AD000036,Snapchat,17041.17,60,9060,2,4.85
AD000037,Google,7331.72,3443,771232,114,1.91
AD000038,Snapchat,2803.41,713,202492,9,3.61
AD000039,Snapchat,2789.96,2367,499437,47,2.85
AD000040,Snapchat,11157.94,3697,1053645,165,3.2
AD000041,Google,10039.31,3814,999268,73,3.1
AD000042,Google,12411.69,1464,149328,45,1.04
AD000043,Google,2847.96,2880,247680,51,3.59
AD000044,Snapchat,6163.81,1010,246440,38,4.87
AD000045,Snapchat,4795.91,1344,240576,37,0.91
AD000046,Meta,12039.33,4228,807548,49,1.88
AD000047,Snapchat,19875.28,4086,510750,62,1.48
AD000048,Google,17705.9,969,153102,32,4.83
AD000049,Meta,850.9,1676,403916,83,4.73
AD000050,Snapchat,5358.28,2286,459486,66,3.74
AD000051,Meta,13322.89,3564,424116,52,1.77
AD000052,Snapchat,4251.5,832,81536,28,4.05
AD000053,Google,3632.46,1873,305299,74,4.01
AD000054,Snapchat,816.54,346,12110,8,4.62
AD000055,Meta,8807.77,2966,599132,107,1.45
AD000056,Snapchat,13967.81,3535,968590,109,0.78
AD000057,Google,804.44,4977,1298997,204,1.68
AD000058,Snapchat,3792.72,398,60098,9,4.49
AD000059,Meta,4299.38,3359,712108,60,2.11
AD000060,Google,13729.62,4870,1149320,77,4.35
AD000061,Google,9593.56,4762,276196,228,1.9
AD000062,Snapchat,13038.95,4236,584568,207,4.21
AD000063,Google,1958.28,3521,45773,75,2.25
AD000064,Snapchat,19721.98,336,21840,5,0.54
AD000065,Meta,9300.59,3210,256800,108,2.77
AD000066,Meta,1187.03,2432,469376,46,3.94
AD000067,Snapchat,3015.66,4347,352107,187,1.86
AD000068,Snapchat,7482.04,4202,172282,65,1.97
AD000069,Meta,12510.19,4548,914148,138,1.37
AD000070,Meta,3181.31,848,20352,26,2.39
AD000071,Meta,1810.47,1401,404889,53,2.97
AD000072,Snapchat,7450.37,759,214797,36,2.15
AD000073,Meta,4683.8,2306,431222,41,2.06
AD000074,Google,16541.1,4309,848873,72,1.82
AD000075,Google,1634.14,665,25935,32,2.16
AD000076,Snapchat,14364.3,4666,713898,81,4.61
AD000077,Snapchat,5002.76,2270,143010,45,1.88
AD000078,Meta,13852.14,1355,365850,46,2.92
AD000079,Snapchat,4325.92,2611,177548,90,2.36
AD000080,Snapchat,5615.27,3347,43511,63,2.32
AD000081,Google,12464.04,1592,321584,67,1.67
AD000082,Meta,18749.62,3247,594201,93,0.52
AD000083,Meta,19285.77,4878,707310,162,1.27
AD000084,Google,3885.91,3023,822256,109,2.19
AD000085,Meta,718.37,660,145200,26,3.73
AD000086,Meta,648.22,545,47415,27,3.67
AD000087,Meta,14024.26,908,228816,16,1.11
AD000088,Google,9475.88,4030,237770,74,4.87
AD000089,Google,12696.48,3961,182206,145,0.9
AD000090,Google,3001.01,4808,144240,65,2.7
AD000091,Snapchat,3891.97,3453,466155,103,4.23
AD000092,Meta,15389.64,1326,45084,41,2.3
AD000093,Google,3651.82,917,79779,34,4.21
AD000094,Google,8143.45,2340,346320,114,2.55
AD000095,Meta,17319.65,4413,397170,89,3.2
AD000096,Google,4017.25,678,162042,33,1.67
AD000097,Snapchat,14154.88,4144,1036000,160,1.01
AD000098,Google,16243.03,1718,101362,85,2.59
AD000099,Meta,13589.31,4292,94424,179,0.88
AD000100,Meta,6157.1,2021,551733,39,2.28
AD000101,Meta,12529.41,4008,268536,122,1.44
AD000102,Meta,5689.46,4348,826120,110,1.82
AD000103,Google,7156.68,2027,460129,45,3.73
AD000104,Snapchat,7430.36,3211,38532,141,4.94
AD000105,Google,3870.9,4251,340080,96,2.39
AD000106,Snapchat,2538.87,1874,41228,49,4.9
AD000107,Google,2146.37,1504,121824,69,2.04
AD000108,Google,5185.37,712,76896,32,3.27
