competitorid,name,price_index
CP0001,Competitor 1,0.98
CP0002,Competitor 2,0.87
CP0003,Competitor 3,1.08
CP0004,Competitor 4,0.73
CP0005,Competitor 5,1.14
CP0006,Competitor 6,0.92
CP0007,Competitor 7,1.0
CP0008,Competitor 8,1.12
CP0009,Competitor 9,0.92
CP0010,Competitor 10,0.97
CP0011,Competitor 11,0.8
CP0012,Competitor 12,1.19
CP0013,Competitor 13,0.88
CP0014,Competitor 14,0.94
CP0015,Competitor 15,0.97
CP0016,Competitor 16,0.95
CP0017,Competitor 17,0.88
CP0018,Competitor 18,1.24
CP0019,Competitor 19,0.78
CP0020,Competitor 20,0.77
CP0021,Competitor 21,0.89
CP0022,Competitor 22,1.06
CP0023,Competitor 23,1.29
CP0024,Competitor 24,0.99
CP0025,Competitor 25,0.81
CP0026,Competitor 26,1.09
CP0027,Competitor 27,0.72
CP0028,Competitor 28,0.74
CP0029,Competitor 29,1.01
CP0030,Competitor 30,0.98
CP0031,Competitor 31,0.79
CP0032,Competitor 32,0.83
CP0033,Competitor 33,1.06
CP0034,Competitor 34,1.27
CP0035,Competitor 35,1.25
CP0036,Competitor 36,1.11
CP0037,Competitor 37,1.01
CP0038,Competitor 38,1.04
CP0039,Competitor 39,1.01
CP0040,Competitor 40,1.3
CP0041,Competitor 41,0.96
CP0042,Competitor 42,0.91
CP0043,Competitor 43,0.79
CP0044,Competitor 44,1.01
CP0045,Competitor 45,1.3
CP0046,Competitor 46,1.29
CP0047,Competitor 47,0.72
CP0048,Competitor 48,0.87
CP0049,Competitor 49,1.03
CP0050,Competitor 50,0.96
CP0051,Competitor 51,1.11
CP0052,Competitor 52,0.82
CP0053,Competitor 53,0.85
CP0054,Competitor 54,1.23
CP0055,Competitor 55,1.25
CP0056,Competitor 56,0.7
CP0057,Competitor 57,1.07
CP0058,Competitor 58,0.83
CP0059,Competitor 59,0.91
CP0060,Competitor 60,1.09
CP0061,Competitor 61,0.98
CP0062,Competitor 62,1.0
CP0063,Competitor 63,1.06
CP0064,Competitor 64,0.81
CP0065,Competitor 65,1.0
CP0066,Competitor 66,1.21
CP0067,Competitor 67,0.93
CP0068,Competitor 68,1.3
CP0069,Competitor 69,1.27
CP0070,Competitor 70,1.16
CP0071,Competitor 71,1.28
CP0072,Competitor 72,1.02
CP0073,Competitor 73,0.86
CP0074,Competitor 74,0.89
CP0075,Competitor 75,0.92
CP0076,Competitor 76,1.09
CP0077,Competitor 77,0.95
CP0078,Competitor 78,1.25
CP0079,Competitor 79,1.24
CP0080,Competitor 80,1.21
CP0081,Competitor 81,1.06
CP0082,Competitor 82,1.13
CP0083,Competitor 83,1.01
CP0084,Competitor 84,0.99
CP0085,Competitor 85,1.28
CP0086,Competitor 86,1.26
CP0087,Competitor 87,1.0
CP0088,Competitor 88,1.29
CP0089,Competitor 89,0.82
CP0090,Competitor 90,0.92
CP0091,Competitor 91,1.21
CP0092,Competitor 92,1.17
CP0093,Competitor 93,0.87
CP0094,Competitor 94,1.19
CP0095,Competitor 95,1.28
CP0096,Competitor 96,0.8
CP0097,Competitor 97,1.1
CP0098,Competitor 98,1.26
CP0099,Competitor 99,0.91
CP0100,Competitor 100,0.89
