customerid,lasttouch,leadscore,city,nps_score,clv
C00001,2024-09-04 23:14:55,20,Riyadh,37,1731.89
C00002,2024-09-23 23:14:55,56,Jeddah,93,13308.21
C00003,2025-02-09 23:14:55,41,Khobar,44,3746.78
C00004,2025-07-21 23:14:55,70,Riyadh,92,10070.74
C00005,2025-05-07 23:14:55,28,Riyadh,76,14650.07
C00006,2024-11-14 23:14:55,15,Medina,32,7030.81
C00007,2025-08-31 23:14:55,58,Jeddah,99,9668.76
C00008,2024-09-25 23:14:55,52,Medina,49,13622.79
C00009,2025-01-17 23:14:55,17,Medina,35,9011.41
C00010,2025-05-16 23:14:55,58,Jeddah,49,9068.33
C00011,2024-09-01 23:14:55,88,Dammam,86,12104.99
C00012,2024-09-25 23:14:55,62,Riyadh,63,13793.13
C00013,2025-05-04 23:14:55,91,Dammam,47,6149.26
C00014,2025-02-05 23:14:55,33,Dammam,92,5746.43
C00015,2024-09-21 23:14:55,83,Medina,27,5205.31
C00016,2024-09-11 23:14:55,53,Riyadh,43,1165.82
C00017,2025-08-24 23:14:55,84,Medina,41,5963.59
C00018,2025-07-12 23:14:55,33,Medina,60,8078.94
C00019,2025-04-26 23:14:55,11,Riyadh,57,12004.45
C00020,2025-02-13 23:14:55,17,Riyadh,84,14583.68
C00021,2025-05-10 23:14:55,13,Mecca,76,3741.44
C00022,2025-04-24 23:14:55,63,Dammam,26,280.04
C00023,2025-01-07 23:14:55,84,Jeddah,78,10591.91
C00024,2025-08-14 23:14:55,91,Khobar,80,11843.37
C00025,2025-02-02 23:14:55,76,Khobar,64,11387.15
C00026,2025-04-28 23:14:55,43,Jeddah,96,10378.61
C00027,2025-04-06 23:14:55,53,Khobar,93,3500.86
C00028,2025-05-07 23:14:55,78,Khobar,84,5746.76
C00029,2025-04-03 23:14:55,49,Jeddah,72,8220.71
C00030,2025-09-11 23:14:55,26,Mecca,42,14270.46
C00031,2024-10-08 23:14:55,88,Medina,76,6357.79
C00032,2025-02-26 23:14:55,56,Jeddah,45,1079.43
C00033,2024-09-06 23:14:55,73,Khobar,67,10334.11
C00034,2024-11-02 23:14:55,53,Jeddah,92,6312.84
C00035,2024-09-27 23:14:55,95,Medina,100,7129.95
C00036,2025-07-10 23:14:55,37,Mecca,49,4543.02
C00037,2024-10-11 23:14:55,25,Dammam,39,8208.62
C00038,2025-05-13 23:14:55,46,Medina,50,9570.11
C00039,2025-01-16 23:14:55,12,Riyadh,50,6946.04
C00040,2025-06-10 23:14:55,60,Khobar,98,12151.95
C00041,2024-12-25 23:14:55,57,Mecca,81,5376.65
C00042,2024-11-12 23:14:55,18,Medina,68,9660.47
