customerid,joindate,city,segment,support_tickets
CUST_00000,2021-10-16,Riyadh,Retail,0
CUST_00001,2020-08-16,Jeddah,Retail,0
CUST_00002,2021-07-12,Riyadh,Retail,0
CUST_00003,2020-04-05,Jeddah,Retail,0
CUST_00004,2021-07-28,Jeddah,Retail,1
CUST_00005,2021-03-05,Jeddah,Retail,0
CUST_00006,2022-06-09,Riyadh,Retail,0
CUST_00007,2021-03-08,Dammam,Retail,0
CUST_00008,2022-02-20,Dammam,Retail,0
CUST_00009,2021-01-02,Dammam,Retail,1
CUST_00010,2022-01-17,Mecca,Retail,3
CUST_00011,2021-01-22,Riyadh,Retail,1
CUST_00012,2021-09-25,Dammam,Retail,1
CUST_00013,2020-02-16,Jeddah,Retail,3
CUST_00014,2022-05-25,Jeddah,VIP,0
CUST_00015,2021-04-09,Dammam,Retail,0
CUST_00016,2021-11-17,Dammam,Retail,0
CUST_00017,2020-03-14,Medina,Retail,0
CUST_00018,2020-09-07,Jeddah,Retail,0
CUST_00019,2021-10-17,Medina,Retail,0
CUST_00020,2022-02-25,Riyadh,Retail,0
CUST_00021,2020-11-19,Mecca,Retail,0
CUST_00022,2021-08-03,Dammam,Retail,0
CUST_00023,2021-10-20,Mecca,Retail,0
CUST_00024,2022-02-01,Medina,Retail,1
CUST_00025,2021-03-14,Medina,Retail,0
CUST_00026,2020-05-21,Medina,Retail,1
CUST_00027,2022-05-31,Riyadh,Retail,0
CUST_00028,2021-11-27,Mecca,Retail,0
CUST_00029,2021-09-02,Mecca,Retail,3
CUST_00030,2022-05-31,Riyadh,Retail,0
CUST_00031,2021-07-03,Dammam,Retail,0
CUST_00032,2020-10-27,Mecca,Retail,0
CUST_00033,2022-01-09,Dammam,Corporate,1
CUST_00034,2021-06-03,Riyadh,VIP,0
CUST_00035,2021-10-16,Medina,Retail,0
CUST_00036,2022-02-19,Jeddah,Retail,1
CUST_00037,2021-06-27,Riyadh,Retail,0
CUST_00038,2020-04-24,Dammam,VIP,1
CUST_00039,2020-11-10,Jeddah,Retail,1
CUST_00040,2020-03-21,Riyadh,Retail,1
CUST_00041,2022-02-17,Medina,Retail,0
CUST_00042,2021-05-01,Medina,Retail,0
CUST_00043,2021-09-13,Mecca,Corporate,2
CUST_00044,2022-02-12,Jeddah,Retail,0
CUST_00045,2021-11-18,Dammam,Retail,0
CUST_00046,2020-05-03,Jeddah,Retail,0
CUST_00047,2021-08-25,Medina,Retail,0
CUST_00048,2020-03-13,Riyadh,Retail,2
CUST_00049,2022-05-30,Dammam,Retail,0
CUST_00050,2021-11-16,Mecca,Retail,0
CUST_00051,2021-08-07,Medina,Retail,1
CUST_00052,2022-04-06,Mecca,Retail,0
CUST_00053,2021-03-17,Dammam,Retail,0
CUST_00054,2022-01-16,Riyadh,Retail,3
CUST_00055,2020-04-10,Riyadh,Retail,0
CUST_00056,2022-06-01,Riyadh,Retail,0
CUST_00057,2021-04-04,Jeddah,Retail,0
CUST_00058,2020-09-12,Riyadh,Retail,1
CUST_00059,2021-07-17,Riyadh,Retail,3
CUST_00060,2022-05-06,Riyadh,Corporate,2
CUST_00061,2022-05-19,Jeddah,Retail,0
CUST_00062,2020-08-06,Mecca,Corporate,0
CUST_00063,2020-01-03,Mecca,Retail,1
CUST_00064,2021-04-10,Dammam,Retail,2
CUST_00065,2022-03-13,Medina,Retail,0
CUST_00066,2020-07-13,Dammam,Retail,0
CUST_00067,2022-01-23,Medina,Retail,0
CUST_00068,2020-02-21,Medina,Retail,2
CUST_00069,2021-06-27,Jeddah,Retail,0
CUST_00070,2022-05-21,Jeddah,Retail,0
CUST_00071,2022-06-01,Jeddah,Retail,2
CUST_00072,2021-08-06,Jeddah,Retail,0
CUST_00073,2020-03-24,Mecca,Retail,0
CUST_00074,2020-11-19,Dammam,Retail,1
CUST_00075,2020-09-01,Dammam,Retail,0
CUST_00076,2020-11-03,Mecca,Retail,1
CUST_00077,2020-03-15,Riyadh,Retail,3
CUST_00078,2020-04-12,Riyadh,Retail,0
CUST_00079,2020-05-15,Dammam,VIP,1
CUST_00080,2021-01-13,Dammam,Retail,1
CUST_00081,2021-12-21,Dammam,Retail,3
CUST_00082,2021-10-31,Medina,Retail,1
CUST_00083,2020-11-02,Riyadh,Corporate,0
CUST_00084,2020-04-28,Riyadh,Retail,0
CUST_00085,2020-10-15,Medina,Retail,0
CUST_00086,2021-12-04,Dammam,Retail,0
CUST_00087,2022-05-16,Riyadh,Retail,0
CUST_00088,2020-10-10,Riyadh,Retail,1
CUST_00089,2021-10-14,Dammam,Retail,0
CUST_00090,2021-12-23,Mecca,Retail,0
CUST_00091,2021-12-08,Jeddah,Retail,1
CUST_00092,2021-08-19,Medina,Retail,0
CUST_00093,2020-11-11,Dammam,VIP,1
CUST_00094,2022-05-31,Riyadh,VIP,0
CUST_00095,2020-09-12,Riyadh,Retail,0
CUST_00096,2022-06-14,Mecca,Corporate,1
CUST_00097,2020-08-30,Jeddah,Corporate,1
CUST_00098,2021-02-26,Riyadh,Retail,2
CUST_00099,2022-03-12,Mecca,VIP,1
CUST_00100,2022-04-10,Jeddah,Retail,1
CUST_00101,2020-04-20,Mecca,VIP,1
CUST_00102,2020-08-15,Jeddah,VIP,0
CUST_00103,2020-11-08,Jeddah,Retail,0
CUST_00104,2021-02-12,Dammam,Retail,0
CUST_00105,2022-03-02,Dammam,Retail,0
CUST_00106,2021-11-26,Medina,Retail,0
CUST_00107,2022-06-17,Dammam,Retail,2
CUST_00108,2020-09-28,Riyadh,Retail,0
CUST_00109,2022-01-16,Dammam,Retail,3
CUST_00110,2020-04-28,Mecca,VIP,0
CUST_00111,2020-02-15,Mecca,Retail,2
CUST_00112,2021-07-05,Jeddah,Retail,0
CUST_00113,2021-11-11,Dammam,Retail,0
CUST_00114,2020-05-07,Dammam,Retail,0
CUST_00115,2020-11-30,Mecca,Retail,0
CUST_00116,2020-07-15,Mecca,Retail,0
CUST_00117,2022-02-05,Jeddah,Retail,0
CUST_00118,2021-07-15,Riyadh,Retail,0
CUST_00119,2022-03-15,Medina,Retail,0
CUST_00120,2021-03-28,Mecca,Retail,0
CUST_00121,2022-03-23,Jeddah,Retail,0
CUST_00122,2021-11-10,Medina,Retail,1
CUST_00123,2022-02-08,Jeddah,Retail,0
CUST_00124,2020-07-22,Jeddah,Retail,0
CUST_00125,2021-05-01,Medina,VIP,0
CUST_00126,2021-02-28,Medina,Retail,0
CUST_00127,2021-05-21,Mecca,Retail,0
CUST_00128,2020-01-06,Riyadh,Retail,0
CUST_00129,2022-04-03,Medina,Retail,0
CUST_00130,2022-05-18,Riyadh,Retail,1
CUST_00131,2021-11-14,Medina,Corporate,0
CUST_00132,2022-02-12,Mecca,Retail,1
CUST_00133,2021-05-31,Mecca,VIP,0
CUST_00134,2020-06-11,Mecca,Retail,1
CUST_00135,2022-05-10,Dammam,Retail,0
CUST_00136,2021-10-03,Jeddah,Retail,0
CUST_00137,2020-10-19,Jeddah,Retail,0
CUST_00138,2021-07-07,Riyadh,Retail,0
CUST_00139,2021-12-11,Jeddah,Retail,0
CUST_00140,2021-02-21,Dammam,Retail,0
CUST_00141,2020-07-30,Mecca,Retail,1
CUST_00142,2021-12-13,Riyadh,VIP,1
CUST_00143,2021-01-24,Mecca,Retail,0
CUST_00144,2022-02-10,Mecca,VIP,2
CUST_00145,2021-03-05,Medina,Retail,0
CUST_00146,2021-09-09,Jeddah,Retail,0
CUST_00147,2021-05-12,Riyadh,Retail,0
CUST_00148,2022-03-28,Mecca,Retail,1
CUST_00149,2020-05-10,Medina,Retail,2
CUST_00150,2021-08-29,Medina,Retail,0
CUST_00151,2021-03-14,Jeddah,VIP,0
CUST_00152,2020-09-23,Mecca,Retail,0
CUST_00153,2020-12-11,Mecca,Retail,2
CUST_00154,2021-03-07,Dammam,VIP,0
CUST_00155,2022-02-06,Medina,Retail,2
CUST_00156,2020-08-17,Riyadh,Retail,0
CUST_00157,2022-02-11,Riyadh,Corporate,0
CUST_00158,2020-01-21,Medina,Retail,0
CUST_00159,2021-11-16,Riyadh,Retail,0
CUST_00160,2021-12-17,Dammam,Retail,0
CUST_00161,2021-09-13,Riyadh,Retail,0
CUST_00162,2020-11-14,Riyadh,Retail,2
CUST_00163,2021-08-12,Mecca,Retail,1
CUST_00164,2020-03-18,Medina,Retail,0
CUST_00165,2020-04-14,Dammam,VIP,0
CUST_00166,2020-05-03,Medina,Retail,0
CUST_00167,2021-03-14,Dammam,Retail,0
CUST_00168,2020-01-13,Mecca,VIP,0
CUST_00169,2021-01-05,Mecca,Retail,0
CUST_00170,2022-01-21,Medina,Corporate,0
CUST_00171,2022-04-07,Medina,Retail,0
CUST_00172,2022-04-25,Medina,Retail,1
CUST_00173,2022-04-30,Riyadh,Retail,0
CUST_00174,2022-02-07,Mecca,Retail,0
CUST_00175,2020-12-10,Riyadh,Retail,0
CUST_00176,2021-05-14,Jeddah,Retail,0
CUST_00177,2020-10-13,Medina,Retail,0
CUST_00178,2020-01-11,Medina,Corporate,0
CUST_00179,2022-01-07,Mecca,Retail,1
CUST_00180,2021-12-08,Mecca,Retail,0
CUST_00181,2022-03-22,Riyadh,Retail,0
CUST_00182,2021-12-09,Jeddah,Retail,0
CUST_00183,2021-04-29,Medina,Retail,0
CUST_00184,2022-02-02,Medina,Retail,1
CUST_00185,2020-10-04,Dammam,Retail,0
CUST_00186,2020-07-16,Dammam,Retail,0
CUST_00187,2022-02-19,Jeddah,Retail,1
CUST_00188,2020-10-10,Medina,Corporate,0
CUST_00189,2020-10-16,Riyadh,VIP,0
CUST_00190,2021-01-04,Jeddah,Retail,1
CUST_00191,2020-05-09,Dammam,Retail,0
CUST_00192,2020-10-26,Jeddah,Retail,1
CUST_00193,2020-04-15,Riyadh,Retail,0
CUST_00194,2021-03-27,Dammam,Retail,0
CUST_00195,2022-06-01,Mecca,Retail,0
CUST_00196,2021-05-18,Riyadh,Retail,0
CUST_00197,2020-06-04,Jeddah,VIP,2
CUST_00198,2020-03-28,Jeddah,Retail,1
CUST_00199,2021-09-12,Medina,Retail,0
CUST_00200,2021-06-19,Mecca,Retail,0
CUST_00201,2022-05-30,Medina,Corporate,0
CUST_00202,2021-09-27,Riyadh,Retail,1
CUST_00203,2022-02-20,Jeddah,Retail,0
CUST_00204,2020-03-24,Jeddah,Retail,0
CUST_00205,2020-06-09,Riyadh,Retail,0
CUST_00206,2021-04-26,Dammam,Retail,0
CUST_00207,2020-10-16,Mecca,Retail,0
CUST_00208,2020-09-27,Medina,Retail,2
CUST_00209,2021-03-11,Riyadh,Retail,0
CUST_00210,2020-09-29,Jeddah,Retail,0
