date,visit,add_to_cart,checkout,purchase
2025-09-13,634,48,25,18
2025-09-12,11292,1883,419,281
2025-09-11,240,53,16,11
2025-09-10,5040,1088,257,166
2025-09-09,6464,1335,684,416
2025-09-08,3151,588,330,232
2025-09-07,16046,1260,388,348
2025-09-06,6549,629,146,93
2025-09-05,2496,219,130,109
2025-09-04,3934,482,273,207
2025-09-03,11645,2042,1143,985
2025-09-02,2670,525,201,105
2025-09-01,18106,2912,1643,1146
2025-08-31,7930,811,405,272
2025-08-30,12424,1174,657,398
2025-08-29,5859,1111,422,307
2025-08-28,1961,380,131,113
2025-08-27,15355,3739,1165,895
2025-08-26,18408,2498,1231,962
2025-08-25,15753,2300,980,501
2025-08-24,11188,1139,373,219
2025-08-23,2920,424,88,48
2025-08-22,15373,3551,2106,1135
2025-08-21,15200,2787,1184,1018
2025-08-20,16323,3186,1325,903
2025-08-19,5263,1070,359,186
2025-08-18,6902,453,121,70
2025-08-17,9484,1447,721,427
2025-08-16,14003,1138,331,215
2025-08-15,3894,622,176,98
2025-08-14,7257,1216,339,189
2025-08-13,11393,1336,453,254
2025-08-12,19616,4382,2350,2056
2025-08-11,11288,1913,1122,868
2025-08-10,1349,163,38,30
2025-08-09,11182,653,257,208
2025-08-08,16007,3319,881,772
2025-08-07,1824,358,154,111
2025-08-06,16742,2324,1290,954
2025-08-05,11125,664,376,221
2025-08-04,18128,3934,1749,945
2025-08-03,7450,564,119,78
2025-08-02,18638,2405,664,462
2025-08-01,18659,4505,2453,2198
2025-07-31,13371,2224,446,246
2025-07-30,16660,1033,400,239
2025-07-29,9596,2087,1078,724
2025-07-28,12575,2155,981,534
2025-07-27,5323,496,213,127
2025-07-26,19242,3776,1717,1359
2025-07-25,16737,3926,882,535
2025-07-24,13415,676,268,195
2025-07-23,2857,645,364,267
2025-07-22,7267,843,402,307
2025-07-21,2169,185,101,88
2025-07-20,1981,412,223,163
2025-07-19,18774,2778,1506,950
2025-07-18,1729,123,70,42
2025-07-17,319,22,12,9
2025-07-16,14271,2102,1083,924
2025-07-15,4699,879,195,121
2025-07-14,10736,960,484,427
2025-07-13,5695,1132,419,321
2025-07-12,15894,1900,784,582
2025-07-11,4310,763,207,169
2025-07-10,10360,898,383,232
2025-07-09,17111,1999,895,488
2025-07-08,9849,2130,700,570
2025-07-07,11285,1138,427,251
2025-07-06,18270,4339,1287,651
2025-07-05,14156,1044,283,194
2025-07-04,4857,532,186,160
2025-07-03,2807,177,58,48
2025-07-02,14919,1104,455,377
2025-07-01,6972,550,277,237
2025-06-30,3863,258,90,61
2025-06-29,10573,971,206,180
2025-06-28,16150,990,338,268
2025-06-27,3572,375,198,167
2025-06-26,4987,1013,540,354
2025-06-25,18900,1417,573,349
2025-06-24,9195,474,277,154
2025-06-23,17640,1676,505,451
2025-06-22,1551,265,81,41
2025-06-21,16846,3543,1125,915
2025-06-20,19815,2845,1355,934
2025-06-19,9905,771,231,136
2025-06-18,7062,1724,484,311
2025-06-17,6143,411,110,75
2025-06-16,2913,666,326,203
2025-06-15,11094,1372,512,392
2025-06-14,4416,880,340,294
