attributionid,orderid,campaignid,revenue,channel,platform
A000001,ORD000589,CAMP0096,9.0,Mobile,tiktok
A000002,ORD001737,CAMP0133,19.24,Web,meta
A000003,ORD002421,CAMP0245,68.25,Web,snapchat
A000004,ORD003708,CAMP0213,38.24,Web,meta
A000005,ORD004001,CAMP0164,22.77,Web,tiktok
A000006,ORD000189,CAMP0045,80.46,Mobile,tiktok
A000007,ORD003724,CAMP0149,78.29,Retail,meta
A000008,ORD000975,CAMP0039,13.74,Mobile,google
A000009,ORD003638,CAMP0020,25.58,Retail,tiktok
A000010,ORD001839,CAMP0038,39.18,Mobile,snapchat
A000011,ORD002958,CAMP0041,152.36,Mobile,meta
A000012,ORD004565,CAMP0247,82.23,Web,tiktok
A000013,ORD004151,CAMP0176,123.7,Web,tiktok
A000014,ORD002178,CAMP0159,13.62,Retail,meta
A000015,ORD002801,CAMP0087,12.66,Mobile,meta
A000016,ORD001224,CAMP0108,60.26,Mobile,google
A000017,ORD004106,CAMP0078,40.02,Web,meta
A000018,ORD003256,CAMP0240,67.74,Mobile,meta
A000019,ORD000095,CAMP0060,40.72,Mobile,google
A000020,ORD001552,CAMP0094,17.87,Web,google
A000021,ORD004280,CAMP0050,106.37,Retail,meta
A000022,ORD004332,CAMP0075,3.07,Web,meta
A000023,ORD001879,CAMP0218,42.0,Web,tiktok
A000024,ORD004879,CAMP0170,15.85,Mobile,google
A000025,ORD002529,CAMP0106,264.72,Retail,tiktok
A000026,ORD002799,CAMP0246,5.92,Web,google
A000027,ORD000246,CAMP0200,48.6,Web,meta
A000028,ORD003357,CAMP0027,102.84,Web,google
A000029,ORD000609,CAMP0025,78.08,Web,snapchat
A000030,ORD001745,CAMP0190,106.37,Mobile,google
A000031,ORD003616,CAMP0241,9.19,Mobile,tiktok
A000032,ORD001053,CAMP0228,11.22,Web,meta
A000033,ORD000985,CAMP0179,43.62,Mobile,meta
A000034,ORD000355,CAMP0195,83.6,Mobile,tiktok
A000035,ORD001406,CAMP0207,157.23,Mobile,google
A000036,ORD000238,CAMP0163,482.26,Mobile,meta
A000037,ORD001429,CAMP0005,49.02,Mobile,meta
A000038,ORD000333,CAMP0040,489.35,Mobile,meta
A000039,ORD002352,CAMP0112,46.89,Mobile,meta
A000040,ORD004617,CAMP0206,142.74,Retail,google
A000041,ORD001403,CAMP0140,55.03,Retail,snapchat
A000042,ORD001486,CAMP0126,11.28,Mobile,snapchat
A000043,ORD003495,CAMP0103,18.99,Web,snapchat
A000044,ORD002678,CAMP0158,356.55,Web,tiktok
A000045,ORD002402,CAMP0105,2.93,Retail,snapchat
A000046,ORD000378,CAMP0231,96.99,Mobile,google
A000047,ORD003947,CAMP0092,380.85,Web,snapchat
A000048,ORD002300,CAMP0079,58.2,Mobile,meta
A000049,ORD003749,CAMP0145,30.16,Web,meta
A000050,ORD000776,CAMP0033,282.87,Mobile,snapchat
A000051,ORD000487,CAMP0244,1821.28,Web,tiktok
A000052,ORD004868,CAMP0094,41.72,Mobile,meta
A000053,ORD000927,CAMP0206,104.25,Mobile,snapchat
A000054,ORD001675,CAMP0231,99.86,Web,google
A000055,ORD002785,CAMP0237,259.48,Web,tiktok
A000056,ORD000700,CAMP0022,7.3,Mobile,tiktok
A000057,ORD002935,CAMP0234,44.68,Web,google
A000058,ORD003777,CAMP0241,86.77,Retail,meta
A000059,ORD004362,CAMP0164,7.72,Web,meta
A000060,ORD003933,CAMP0073,246.3,Web,meta
A000061,ORD001944,CAMP0146,103.9,Web,meta
A000062,ORD003087,CAMP0148,69.77,Web,tiktok
A000063,ORD002782,CAMP0249,3.07,Web,google
A000064,ORD001230,CAMP0045,27.2,Mobile,google
A000065,ORD004443,CAMP0165,14.08,Retail,meta
A000066,ORD001308,CAMP0134,12.22,Web,google
A000067,ORD000349,CAMP0164,40.38,Web,meta
A000068,ORD004968,CAMP0164,187.84,Web,snapchat
A000069,ORD001048,CAMP0224,10.63,Web,tiktok
A000070,ORD000745,CAMP0065,12.68,Mobile,snapchat
A000071,ORD002046,CAMP0250,121.89,Web,snapchat
A000072,ORD002714,CAMP0023,21.26,Retail,meta
A000073,ORD001438,CAMP0195,48.24,Web,google
A000074,ORD004205,CAMP0114,31.16,Mobile,google
A000075,ORD003248,CAMP0249,20.01,Web,snapchat
A000076,ORD002343,CAMP0098,23.78,Web,meta
A000077,ORD004872,CAMP0080,373.96,Mobile,meta
A000078,ORD002539,CAMP0006,48.56,Mobile,snapchat
A000079,ORD004878,CAMP0107,293.61,Web,meta
A000080,ORD000629,CAMP0163,36.6,Web,meta
A000081,ORD000022,CAMP0152,37.22,Retail,meta
A000082,ORD004016,CAMP0132,128.1,Retail,tiktok
