sessionid,timestamp,customerid,pageviews,events,city,channel,bounce,session_duration,conversion,source
S391712,2025-03-02 23:25:55,C86522,2,2,Riyadh,Tablet,0,267,0,paid
S109245,2025-03-10 16:10:55,C21642,11,11,Medina,Web,0,681,1,organic
S632990,2025-03-01 14:44:55,C49949,9,1,Riyadh,Web,1,752,1,referral
S638388,2025-03-02 21:14:55,C37172,15,14,Jeddah,Mobile,0,897,0,email
S177581,2025-03-24 07:17:55,C58020,14,3,Dammam,Tablet,0,561,0,referral
S833971,2025-03-07 02:28:55,C75338,2,1,Medina,Web,1,206,1,referral
S351472,2025-03-10 23:04:55,C97643,13,1,Mecca,Tablet,0,58,0,email
S744343,2025-03-23 04:38:55,C64728,4,4,Medina,Mobile,1,418,1,organic
S505175,2025-03-13 15:17:55,C50906,14,8,Dammam,Mobile,0,492,0,organic
S717596,2025-03-23 18:18:55,C18660,14,5,Medina,Mobile,1,463,0,organic
S584476,2025-03-12 13:53:55,C97377,15,15,Medina,Tablet,0,406,0,social
S128444,2025-03-09 06:46:55,C28665,6,5,Dammam,Tablet,0,381,1,paid
S708317,2025-03-03 11:52:55,C48684,1,1,Dammam,Web,0,284,1,organic
S446294,2025-03-25 23:03:55,C79869,10,1,Riyadh,Tablet,1,654,1,email
S270285,2025-03-02 02:16:55,C76290,12,2,Dammam,Web,1,153,1,social
S672308,2025-02-24 03:42:55,C10386,9,4,Medina,Mobile,1,411,0,email
S679968,2025-03-25 05:07:55,C70261,5,4,Khobar,Mobile,0,222,1,referral
S662719,2025-03-23 13:59:55,C11341,13,1,Dammam,Web,1,86,0,paid
S554392,2025-03-16 22:36:55,C59972,6,1,Khobar,Web,0,798,0,email
S639561,2025-03-05 22:53:55,C52231,8,8,Medina,Web,1,464,1,referral
S375529,2025-03-20 23:55:55,C96966,11,4,Mecca,Mobile,0,485,0,social
S243818,2025-03-05 22:33:55,C76018,14,12,Jeddah,Mobile,1,284,1,organic
S699947,2025-03-11 16:10:55,C83649,7,1,Jeddah,Mobile,0,646,1,social
S256444,2025-03-08 02:48:55,C28404,14,7,Khobar,Tablet,1,419,0,social
S179874,2025-03-11 04:10:55,C35649,14,13,Medina,Web,0,76,1,organic
S316109,2025-03-10 04:00:55,C28544,3,1,Dammam,Mobile,1,657,0,social
S385970,2025-03-25 05:57:55,C72944,5,2,Jeddah,Tablet,0,684,1,social
S367732,2025-03-23 20:28:55,C47101,11,5,Dammam,Tablet,0,833,1,organic
S598056,2025-03-08 14:02:55,C49273,11,10,Khobar,Mobile,0,696,0,paid
S344504,2025-03-13 04:21:55,C54637,7,4,Mecca,Tablet,1,755,0,organic
S974197,2025-03-09 20:24:55,C56009,4,0,Medina,Tablet,1,143,0,social
S137068,2025-03-20 16:27:55,C29259,2,2,Dammam,Web,1,845,0,email
S528560,2025-03-25 16:06:55,C25176,9,8,Mecca,Tablet,0,752,1,email
S394208,2025-03-03 05:06:55,C46351,8,7,Riyadh,Web,0,176,0,organic
S745067,2025-03-27 03:09:55,C32850,4,1,Medina,Web,0,65,0,paid
S592956,2025-03-30 14:02:55,C59279,1,0,Mecca,Web,0,213,1,paid
S944805,2025-03-20 23:06:55,C16027,13,10,Dammam,Web,1,160,0,email
S436161,2025-03-07 03:26:55,C97056,13,10,Khobar,Web,1,855,0,email
S989500,2025-03-26 15:01:55,C50935,11,2,Mecca,Mobile,0,499,1,organic
S864113,2025-03-20 23:29:55,C78368,4,2,Khobar,Tablet,0,589,0,paid
S802705,2025-03-23 17:46:55,C25852,4,0,Khobar,Web,0,659,0,social
S892724,2025-03-13 16:35:55,C38099,11,0,Jeddah,Tablet,1,230,0,referral
S234789,2025-03-15 08:55:55,C78830,13,2,Riyadh,Tablet,1,385,1,paid
S539161,2025-03-28 23:12:55,C28296,8,0,Jeddah,Web,1,395,1,social
S222072,2025-03-26 04:30:55,C57487,4,1,Dammam,Tablet,1,51,1,organic
S994398,2025-03-13 20:35:55,C74640,4,4,Mecca,Mobile,1,504,1,social
S887355,2025-03-03 11:24:55,C99750,15,7,Mecca,Tablet,0,621,0,social
