productid,productname,category,price,cost
P0001,Panadol Extra Pack,Pain Relief,12.87,5.16
P0002,Panadol Extra Bottle,Pain Relief,12.22,4.09
P0003,Panadol Extra Box,Pain Relief,13.26,4.28
P0004,Panadol Advance Pack,Pain Relief,17.36,6.69
P0005,Panadol Advance Bottle,Pain Relief,17.71,8.16
P0006,Panadol Advance Box,Pain Relief,16.39,7.6
P0007,Aspirin 100mg Pack,Pain Relief,7.79,2.97
P0008,Aspirin 100mg Bottle,Pain Relief,8.19,3.2
P0009,Aspirin 100mg Box,Pain Relief,7.35,2.95
P0010,Voltaren Emulgel 50g Pack,Pain Relief,42.35,17.28
P0011,Voltaren Emulgel 50g Bottle,Pain Relief,52.44,19.04
P0012,Voltaren Emulgel 50g Box,Pain Relief,49.02,20.53
P0013,Brufen 400mg Pack,Pain Relief,22.77,9.57
P0014,Brufen 400mg Bottle,Pain Relief,22.69,8.06
P0015,Brufen 400mg Box,Pain Relief,21.27,8.36
P0016,Vicks VapoRub 50g Pack,Cold & Flu,17.61,6.3
P0017,Vicks VapoRub 50g Bottle,Cold & Flu,15.25,5.72
P0018,Vicks VapoRub 50g Box,Cold & Flu,14.93,5.79
P0019,NeoCitran Hot Drink Pack,Cold & Flu,25.71,10.2
P0020,NeoCitran Hot Drink Bottle,Cold & Flu,20.19,10.78
P0021,NeoCitran Hot Drink Box,Cold & Flu,23.29,10.17
P0022,Otrivin Nasal Spray Pack,Cold & Flu,30.0,11.92
P0023,Otrivin Nasal Spray Bottle,Cold & Flu,23.25,10.97
P0024,Otrivin Nasal Spray Box,Cold & Flu,24.5,11.45
P0025,Centrum Multivitamins Pack,Vitamins,111.64,36.67
P0026,Centrum Multivitamins Bottle,Vitamins,113.9,38.63
P0027,Centrum Multivitamins Box,Vitamins,109.63,45.57
P0028,Redoxon Vitamin C 1000mg Pack,Vitamins,30.19,13.82
P0029,Redoxon Vitamin C 1000mg Bottle,Vitamins,34.61,11.43
P0030,Redoxon Vitamin C 1000mg Box,Vitamins,32.33,13.7
P0031,Omega-3 Fish Oil Pack,Vitamins,94.29,42.27
P0032,Omega-3 Fish Oil Bottle,Vitamins,77.22,39.97
P0033,Omega-3 Fish Oil Box,Vitamins,100.66,38.49
P0034,Cetaphil Gentle Cleanser Pack,Skincare,80.17,28.69
P0035,Cetaphil Gentle Cleanser Bottle,Skincare,89.73,34.93
P0036,Cetaphil Gentle Cleanser Box,Skincare,78.58,29.78
P0037,Neutrogena Hydro Boost Pack,Skincare,125.66,44.5
P0038,Neutrogena Hydro Boost Bottle,Skincare,116.37,46.35
P0039,Neutrogena Hydro Boost Box,Skincare,126.95,43.21
P0040,Nivea Body Lotion 400ml Pack,Personal Care,41.14,13.45
P0041,Nivea Body Lotion 400ml Bottle,Personal Care,32.87,15.61
P0042,Nivea Body Lotion 400ml Box,Personal Care,41.15,16.15
P0043,Sensodyne Repair & Protect Pack,Oral Care,27.92,9.97
P0044,Sensodyne Repair & Protect Bottle,Oral Care,30.13,12.93
P0045,Sensodyne Repair & Protect Box,Oral Care,31.7,12.69
P0046,Savlon Antiseptic 100ml Pack,First Aid,20.85,8.32
P0047,Savlon Antiseptic 100ml Bottle,First Aid,18.22,8.28
P0048,Savlon Antiseptic 100ml Box,First Aid,18.34,6.51
P0049,Band-Aid Assorted Pack,First Aid,11.89,4.52
P0050,Band-Aid Assorted Bottle,First Aid,11.37,5.69
P0051,Band-Aid Assorted Box,First Aid,13.65,5.7
P0052,Clobetasol Cream 0.05% 30g Pack,Dermatology,104.0,38.09
P0053,Clobetasol Cream 0.05% 30g Bottle,Dermatology,113.11,44.32
P0054,Clobetasol Cream 0.05% 30g Box,Dermatology,111.97,45.44
P0055,Mometasone Furoate 0.1% 15g Pack,Dermatology,106.37,47.37
P0056,Mometasone Furoate 0.1% 15g Bottle,Dermatology,104.79,43.65
P0057,Mometasone Furoate 0.1% 15g Box,Dermatology,121.72,41.28
P0058,Refresh Tears Eye Drops Pack,Eye Care,42.51,17.77
P0059,Refresh Tears Eye Drops Bottle,Eye Care,45.02,15.26
P0060,Refresh Tears Eye Drops Box,Eye Care,45.53,17.84
P0061,Earol Ear Drops Pack,Ear Care,20.01,9.51
P0062,Earol Ear Drops Bottle,Ear Care,25.88,10.47
P0063,Earol Ear Drops Box,Ear Care,21.26,9.41
P0064,Gaviscon 200ml Pack,Gastrointestinal,53.15,16.96
P0065,Gaviscon 200ml Bottle,Gastrointestinal,50.56,17.49
P0066,Gaviscon 200ml Box,Gastrointestinal,53.76,17.11
P0067,Imodium 2mg Pack,Gastrointestinal,31.47,10.01
P0068,Imodium 2mg Bottle,Gastrointestinal,30.04,11.79
P0069,Imodium 2mg Box,Gastrointestinal,31.48,11.17
P0070,Johnson's Baby Oil 200ml Pack,Baby Care,39.18,15.6
P0071,Johnson's Baby Oil 200ml Bottle,Baby Care,36.81,15.63
P0072,Johnson's Baby Oil 200ml Box,Baby Care,37.3,14.41
P0073,Pampers Baby Dry Pack,Baby Care,121.89,53.75
P0074,Pampers Baby Dry Bottle,Baby Care,142.89,55.94
P0075,Pampers Baby Dry Box,Baby Care,125.75,48.65
P0076,Duphaston 10mg Pack,Women's Health,79.79,27.91
P0077,Duphaston 10mg Bottle,Women's Health,78.29,34.78
P0078,Duphaston 10mg Box,Women's Health,82.15,33.18
P0079,Femibion Prenatal Pack,Vitamins,151.81,59.02
P0080,Femibion Prenatal Bottle,Vitamins,184.6,63.26
P0081,Femibion Prenatal Box,Vitamins,159.3,75.87
P0082,Ventolin Inhaler Pack,Respiratory,202.9,83.69
P0083,Ventolin Inhaler Bottle,Respiratory,222.78,98.52
P0084,Ventolin Inhaler Box,Respiratory,234.11,102.91
P0085,Symbicort Inhaler Pack,Respiratory,389.73,181.14
P0086,Symbicort Inhaler Bottle,Respiratory,455.32,175.53
P0087,Symbicort Inhaler Box,Respiratory,381.91,198.7
P0088,Colgate Total Pack,Oral Care,18.99,9.34
P0089,Colgate Total Bottle,Oral Care,18.94,7.44
P0090,Colgate Total Box,Oral Care,19.23,7.66
P0091,Multivitamin Gummies Kids Pack,Vitamins,61.0,24.57
P0092,Multivitamin Gummies Kids Bottle,Vitamins,61.54,21.55
P0093,Multivitamin Gummies Kids Box,Vitamins,54.15,21.37
P0094,Aspirin 100mg Pack - Store Brand,Pain Relief,5.44,2.19
P0095,Earol Ear Drops Box - Store Brand,Ear Care,13.57,6.49
P0096,Mometasone Furoate 0.1% 15g Pack - Store Brand,Dermatology,66.15,38.18
P0097,Femibion Prenatal Box - Store Brand,Vitamins,119.48,49.31
P0098,Panadol Advance Pack - Store Brand,Pain Relief,11.31,5.08
P0099,Voltaren Emulgel 50g Bottle - Store Brand,Pain Relief,37.67,11.97
P0100,Band-Aid Assorted Box - Store Brand,First Aid,9.8,4.7
P0101,Cetaphil Gentle Cleanser Pack - Store Brand,Skincare,49.93,21.12
P0102,Otrivin Nasal Spray Box - Store Brand,Cold & Flu,16.97,7.96
P0103,Otrivin Nasal Spray Box - Store Brand,Cold & Flu,17.43,7.62
P0104,Refresh Tears Eye Drops Box - Store Brand,Eye Care,30.32,14.44
P0105,Pampers Baby Dry Pack - Store Brand,Baby Care,75.01,42.36
P0106,Symbicort Inhaler Bottle - Store Brand,Respiratory,284.2,134.64
P0107,Refresh Tears Eye Drops Box - Store Brand - Store Brand,Eye Care,22.3,12.17
P0108,Duphaston 10mg Pack - Store Brand,Women's Health,52.41,17.17
P0109,Band-Aid Assorted Bottle - Store Brand,First Aid,9.15,4.01
P0110,Imodium 2mg Box - Store Brand,Gastrointestinal,24.3,9.32
P0111,Pampers Baby Dry Bottle - Store Brand,Baby Care,117.23,40.22
P0112,Voltaren Emulgel 50g Bottle - Store Brand,Pain Relief,36.64,15.49
P0113,Panadol Advance Bottle - Store Brand,Pain Relief,12.85,6.73
P0114,Otrivin Nasal Spray Box - Store Brand - Store Brand,Cold & Flu,12.95,6.44
P0115,NeoCitran Hot Drink Pack - Store Brand,Cold & Flu,16.2,8.05
P0116,Otrivin Nasal Spray Bottle - Store Brand,Cold & Flu,19.47,7.04
P0117,Redoxon Vitamin C 1000mg Pack - Store Brand,Vitamins,24.22,8.73
P0118,Mometasone Furoate 0.1% 15g Pack - Store Brand,Dermatology,65.91,36.51
P0119,Centrum Multivitamins Bottle - Store Brand,Vitamins,96.74,29.24
P0120,Refresh Tears Eye Drops Box - Store Brand - Store Brand - Store Brand,Eye Care,16.7,8.27
P0121,Aspirin 100mg Pack - Store Brand - Store Brand,Pain Relief,4.51,1.35
P0122,Band-Aid Assorted Bottle - Store Brand,First Aid,8.4,4.2
P0123,Imodium 2mg Box - Store Brand - Store Brand,Gastrointestinal,16.26,6.66
P0124,Voltaren Emulgel 50g Bottle - Store Brand - Store Brand,Pain Relief,22.1,12.01
P0125,Duphaston 10mg Pack - Store Brand,Women's Health,58.3,19.67
P0126,Clobetasol Cream 0.05% 30g Box - Store Brand,Dermatology,71.37,33.7
P0127,Pampers Baby Dry Box - Store Brand,Baby Care,99.29,40.62
P0128,Centrum Multivitamins Bottle - Store Brand - Store Brand,Vitamins,60.6,23.24
