orderid,customerid,date,timestamp,netsale,category,city,segment
ORD_0000001,CUST_00276,2021-09-14,2021-09-14 00:00:00.000000,206.99,Personal Care,Dammam,Retail
ORD_0000002,CUST_01987,2022-11-28,2022-11-28 00:00:00.000000,861.83,Personal Care,Medina,VIP
ORD_0000003,CUST_00297,2024-11-21,2024-11-21 00:00:00.000000,256.94,Personal Care,Jeddah,VIP
ORD_0000004,CUST_00390,2021-02-12,2021-02-12 00:00:00.000000,314.9,Wellness,Jeddah,Retail
ORD_0000005,CUST_00864,2021-08-07,2021-08-07 00:00:00.000000,134.13,Personal Care,Mecca,Retail
ORD_0000006,CUST_01438,2024-10-24,2024-10-24 00:00:00.000000,964.59,Wellness,Riyadh,VIP
ORD_0000007,CUST_01198,2023-03-18,2023-03-18 00:00:00.000000,217.31,Wellness,Riyadh,Retail
ORD_0000008,CUST_00104,2022-12-28,2022-12-28 00:00:00.000000,27.72,Personal Care,Dammam,Retail
ORD_0000009,CUST_00884,2023-05-24,2023-05-24 00:00:00.000000,851.64,Personal Care,Dammam,Retail
ORD_0000010,CUST_01497,2024-02-07,2024-02-07 00:00:00.000000,999.05,Wellness,Riyadh,Corporate
ORD_0000011,CUST_00995,2024-10-24,2024-10-24 00:00:00.000000,599.22,Personal Care,Riyadh,Retail
ORD_0000012,CUST_01853,2025-04-30,2025-04-30 00:00:00.000000,870.28,Medication,Riyadh,Retail
ORD_0000013,CUST_01081,2021-10-18,2021-10-18 00:00:00.000000,433.56,Medication,Jeddah,Retail
ORD_0000014,CUST_00548,2025-07-01,2025-07-01 00:00:00.000000,655.33,Medication,Medina,VIP
ORD_0000015,CUST_01013,2025-04-22,2025-04-22 00:00:00.000000,940.19,Personal Care,Jeddah,Retail
ORD_0000016,CUST_00893,2020-09-10,2020-09-10 00:00:00.000000,178.11,Wellness,Jeddah,Retail
ORD_0000017,CUST_00704,2023-03-29,2023-03-29 00:00:00.000000,247.46,Personal Care,Riyadh,Retail
ORD_0000018,CUST_00694,2024-05-09,2024-05-09 00:00:00.000000,856.38,Wellness,Dammam,Retail
ORD_0000019,CUST_00268,2022-09-21,2022-09-21 00:00:00.000000,728.54,Wellness,Mecca,Retail
ORD_0000020,CUST_01706,2024-03-24,2024-03-24 00:00:00.000000,800.05,Medication,Riyadh,Retail
ORD_0000021,CUST_01273,2021-05-25,2021-05-25 00:00:00.000000,296.81,Personal Care,Riyadh,Retail
ORD_0000022,CUST_00988,2021-09-24,2021-09-24 00:00:00.000000,189.83,Wellness,Jeddah,Retail
ORD_0000023,CUST_00206,2023-08-26,2023-08-26 00:00:00.000000,944.19,Medication,Dammam,Retail
ORD_0000024,CUST_00428,2024-08-22,2024-08-22 21:27:26.725144,66.11,Wellness,Mecca,Retail
ORD_0000025,CUST_01386,2021-02-20,2021-02-20 00:00:00.000000,191.22,Personal Care,Riyadh,Retail
ORD_0000026,CUST_00065,2022-07-22,2022-07-22 00:00:00.000000,350.98,Medication,Medina,Retail
ORD_0000027,CUST_00247,2024-07-23,2024-07-23 00:00:00.000000,239.61,Wellness,Medina,Retail
