ticketid,customerid,createdat,status,issue_type,resolution_time,channel
T000001,C00882,2024-08-11 23:14:55,closed,Product Question,60,phone
T000002,C00461,2025-08-25 23:14:55,escalated,Delivery,63,chat
T000003,C00122,2024-12-27 23:14:55,escalated,Delivery,20,chat
T000004,C00859,2025-02-14 23:14:55,closed,Product Question,27,email
T000005,C00157,2025-06-04 23:14:55,escalated,Product Question,19,phone
T000006,C00301,2024-08-21 23:14:55,escalated,Order Issue,39,chat
T000007,C00765,2024-10-13 23:14:55,closed,Return,45,email
T000008,C00450,2025-03-16 23:14:55,escalated,Product Question,71,email
T000009,C00481,2025-05-10 23:14:55,escalated,Order Issue,41,email
T000010,C01043,2024-11-08 23:14:55,escalated,Product Question,27,email
T000011,C01164,2024-09-06 23:14:55,open,Order Issue,27,phone
T000012,C00242,2025-07-09 23:14:55,open,Product Question,64,phone
T000013,C01119,2024-10-10 23:14:55,closed,Product Question,9,phone
T000014,C00302,2025-04-30 23:14:55,open,Order Issue,23,chat
T000015,C00089,2025-02-15 23:14:55,open,Order Issue,57,chat
T000016,C01043,2025-05-10 23:14:55,open,Product Question,46,phone
T000017,C00002,2025-06-13 23:14:55,closed,Product Question,38,email
T000018,C00381,2025-04-01 23:14:55,escalated,Delivery,50,email
T000019,C00420,2025-07-15 23:14:55,escalated,Product Question,51,chat
T000020,C00274,2025-07-23 23:14:55,open,Delivery,0,chat
T000021,C00020,2025-07-17 23:14:55,open,Delivery,38,chat
T000022,C00624,2025-03-25 23:14:55,open,Product Question,38,chat
T000023,C00388,2024-12-08 23:14:55,closed,Order Issue,42,email
T000024,C00832,2024-12-16 23:14:55,closed,Product Question,14,email
T000025,C00351,2025-08-19 23:14:55,escalated,Order Issue,24,email
T000026,C00364,2025-02-20 23:14:55,escalated,Order Issue,44,phone
T000027,C00312,2025-01-12 23:14:55,open,Order Issue,40,phone
T000028,C00871,2024-12-12 23:14:55,closed,Order Issue,31,chat
T000029,C00375,2025-01-20 23:14:55,open,Return,14,email
T000030,C00012,2024-08-19 23:14:55,escalated,Product Question,17,chat
T000031,C00562,2025-01-23 23:14:55,open,Order Issue,7,email
T000032,C01183,2025-02-11 23:14:55,closed,Delivery,1,phone
T000033,C00409,2025-05-29 23:14:55,open,Delivery,67,chat
T000034,C00317,2025-08-11 23:14:55,closed,Product Question,43,phone
T000035,C00235,2024-08-31 23:14:55,open,Delivery,43,phone
T000036,C00878,2024-10-16 23:14:55,escalated,Order Issue,42,email
T000037,C01172,2024-08-24 23:14:55,closed,Return,60,chat
T000038,C00657,2025-04-06 23:14:55,escalated,Order Issue,3,email
T000039,C00628,2025-03-05 23:14:55,escalated,Order Issue,43,email
T000040,C00623,2024-10-28 23:14:55,escalated,Delivery,32,phone
T000041,C00137,2024-08-13 23:14:55,open,Order Issue,48,email
T000042,C01170,2025-05-23 23:14:55,open,Order Issue,31,email
T000043,C00206,2025-08-29 23:14:55,closed,Product Question,21,email
T000044,C00328,2024-12-18 23:14:55,open,Return,40,email
T000045,C00510,2024-11-01 23:14:55,closed,Return,8,email
T000046,C00201,2025-04-18 23:14:55,escalated,Delivery,25,chat
T000047,C00112,2024-12-27 23:14:55,closed,Delivery,52,chat
T000048,C00860,2025-05-06 23:14:55,closed,Product Question,8,chat
T000049,C00911,2024-08-13 23:14:55,open,Order Issue,8,phone
T000050,C00957,2024-08-18 23:14:55,open,Delivery,18,email
T000051,C00041,2024-10-28 23:14:55,open,Delivery,69,chat
T000052,C00664,2025-04-09 23:14:55,open,Delivery,0,email
T000053,C00618,2025-06-28 23:14:55,open,Order Issue,27,chat
T000054,C00176,2024-11-25 23:14:55,open,Return,14,phone
T000055,C01179,2025-04-08 23:14:55,open,Product Question,39,chat
T000056,C00433,2025-06-27 23:14:55,escalated,Return,71,email
